country,electricity_demand_per_capita,temperature_change_c,co2_per_capita,gdp,renewables_share_elec,fossil_share_elec,population
Sri Lanka,555.0945725874467,0.7632272727272728,0.7247197626363636,200961580389.31818,42.07193825461648,57.928060878406875,21197523.59090909
Sweden,15285.12508877841,1.5994090909090908,5.009059591772727,402171036607.2727,55.968821265480734,3.077621801332994,9576679.681818182
Switzerland,8107.006680575284,1.599681818181818,5.20792364,454266343412.5,58.06724739074707,3.0786082961342554,7973840.590909091
Syria,1425.6177506880326,1.2094545454545456,2.2391479665454543,98622437855.04546,7.430824344808405,92.56917537342419,20303201.772727273
Tajikistan,2120.1859186345882,1.198590909090909,0.5409927314090909,27032513946.090908,96.98155039007014,3.018448876386339,8084457.409090909
Tanzania,112.90287087180398,0.9785454545454545,0.19125659763636363,110463390921.09091,50.51158636266535,49.48841283538125,48072668.09090909
Thailand,2412.9307694868608,0.8695909090909091,3.541540752772727,903403554633.591,9.087343454360962,90.91265730424361,68696077.0909091
The Gambia,135.99374250932172,1.3161818181818181,0.23095680227272727,3178084205.681818,0.0,100.0,2032914.5
Togo,166.00441429831764,1.0143636363636364,0.28168456509090906,9098294821.545454,37.0140396898443,62.985960093411535,6493152.454545454
Trinidad and Tobago,5851.725053267045,1.2628181818181818,28.60592495363636,38744321046.63636,0.17558931627056815,99.82441087202592,1405445.0454545454
Tunisia,1523.0052323774858,1.3586363636363636,2.4405878132727272,109736970754.63637,1.9511636888439006,98.04883610118519,10988969.0
Turkey,2959.4790649414062,1.186090909090909,4.453548973363636,1462331328795.9546,28.49707672812722,71.50292483243075,76155879.0909091
Turkmenistan,2703.788995916193,1.4534545454545453,9.9980392675,70763309215.81818,0.0029948234388774047,99.99700546264648,5836015.5
Uganda,81.2230000929399,1.157181818181818,0.10225614722727272,63846479061.27273,89.35756561972879,10.64243377067826,34670737.86363637
Ukraine,3635.741876775568,1.554318181818182,5.833105694136364,414740405348.13635,7.3725416877053,43.81090250882235,46252422.90909091
United Arab Emirates,13620.92764559659,1.1674545454545453,24.49885368409091,516347678117.9091,0.8153441660106182,98.22111303156072,7157182.7272727275
United States,13004.097301136364,1.0211818181818182,17.787998633636363,16077128862314.318,13.04479911110618,67.4195951981978,315015513.27272725
Uruguay,3231.246182528409,0.7915454545454547,1.9770978255454545,55123041956.77273,86.84658466685902,13.153413729234176,3336215.5
Uzbekistan,1895.0598033558238,1.4316818181818183,4.041855357,230285736768.72726,11.374145356091587,88.62585379860617,29371591.045454547
Venezuela,3715.1670365767045,1.1685454545454546,5.179760401818182,373480527433.63635,67.12268742648038,32.87731083956632,28366593.772727273
Vietnam,1395.8057486794212,0.8747727272727274,1.9090626917272728,484960359737.9091,40.47349548339844,59.526504343206234,88861937.95454545
Zambia,761.4010897549716,0.8600454545454546,0.30418441577272726,44753932641.454544,95.73999751697887,4.260002229701389,14858621.772727273
Zimbabwe,760.1806141246449,0.5367272727272727,0.7650073441818183,22076508664.18182,58.79756875471635,41.2024321122603,13781159.090909092
